date,temperature
2025-01-01,22.7
2025-01-02,22.5
2025-01-03,24.3
2025-01-04,26.3
2025-01-05,24.3
2025-01-06,24.9
2025-01-07,28.2
2025-01-08,27.6
2025-01-09,26.2
2025-01-10,28.3
2025-01-11,27.2
2025-01-12,27.7
2025-01-13,29.1
2025-01-14,26.2
2025-01-15,26.8
2025-01-16,28.7
2025-01-17,28.3
2025-01-18,30.4
2025-01-19,28.6
2025-01-20,27.9
2025-01-21,32.2
2025-01-22,29.5
2025-01-23,29.8
2025-01-24,27.4
2025-01-25,28.5
2025-01-26,29.1
2025-01-27,26.9
2025-01-28,28.8
2025-01-29,26.9
2025-01-30,26.9
2025-01-31,25.9
2025-02-01,29.0
2025-02-02,25.6
2025-02-03,23.5
2025-02-04,25.7
2025-02-05,22.0
2025-02-06,23.4
2025-02-07,19.5
2025-02-08,19.8
2025-02-09,21.4
2025-02-10,21.6
2025-02-11,20.1
2025-02-12,19.0
2025-02-13,18.1
2025-02-14,15.8
2025-02-15,16.3
2025-02-16,16.2
2025-02-17,18.0
2025-02-18,16.5
2025-02-19,12.9
2025-02-20,15.6
2025-02-21,14.3
2025-02-22,13.6
2025-02-23,15.3
2025-02-24,15.7
2025-02-25,15.5
2025-02-26,12.7
2025-02-27,13.5
2025-02-28,14.6
2025-03-01,15.6
2025-03-02,13.6
2025-03-03,14.3
2025-03-04,13.2
2025-03-05,13.3
2025-03-06,16.7
2025-03-07,17.9
2025-03-08,16.2
2025-03-09,18.4
2025-03-10,17.9
2025-03-11,17.0
2025-03-12,19.1
2025-03-13,21.4
2025-03-14,19.7
2025-03-15,22.8
2025-03-16,17.1
2025-03-17,23.0
2025-03-18,22.5
2025-03-19,22.6
2025-03-20,23.9
2025-03-21,21.4
2025-03-22,24.7
2025-03-23,26.1
2025-03-24,28.4
2025-03-25,26.0
2025-03-26,26.0
2025-03-27,27.0
2025-03-28,29.6
2025-03-29,29.1
2025-03-30,28.1
2025-03-31,30.0
2025-04-01,29.6
2025-04-02,31.2
2025-04-03,28.8
2025-04-04,29.5
2025-04-05,29.4
2025-04-06,27.8
2025-04-07,30.4
2025-04-08,30.2
2025-04-09,29.6
2025-04-10,29.0
2025-04-11,27.0
2025-04-12,28.1
2025-04-13,27.9
2025-04-14,26.8
2025-04-15,27.3
2025-04-16,27.6
2025-04-17,29.3
2025-04-18,26.2
2025-04-19,25.7
2025-04-20,24.6
2025-04-21,21.2
2025-04-22,23.4
2025-04-23,22.8
2025-04-24,25.8
2025-04-25,21.1
2025-04-26,21.2
2025-04-27,20.0
2025-04-28,17.7
2025-04-29,20.5
2025-04-30,19.3
