ProductName,Price,Rate,Review,Summary
Candes 12L Air Cooler,3999,5,Super,Excellent cooling and airflow
Candes 12L Air Cooler,3999,4,Good,Good product for small rooms
Candes 12L Air Cooler,3999,3,Fair,Average cooling performance
Bajaj PX97 Air Cooler,5499,5,Awesome,Powerful cooling and durable
Bajaj PX97 Air Cooler,5499,4,Good,Value for money product
Bajaj PX97 Air Cooler,5499,3,Fair,Works fine but noisy
Symphony Diet 12T Cooler,6299,5,Excellent,Best air cooler in budget
Symphony Diet 12T Cooler,6299,4,Good,Decent cooling and quality
Symphony Diet 12T Cooler,6299,2,Poor,Cooling could be better
Crompton Ozone 75L Cooler,8999,5,Excellent,Large tank and strong airflow
Crompton Ozone 75L Cooler,8999,4,Good,Good performance overall
Crompton Ozone 75L Cooler,8999,3,Fair,Average build quality
Voltas Mega 70 Cooler,10499,5,Awesome,Very effective cooling
Voltas Mega 70 Cooler,10499,4,Good,Works as expected
Voltas Mega 70 Cooler,10499,3,Fair,Slightly noisy operation
LG 1.5 Ton AC,35999,5,Excellent,Fast cooling and energy efficient
LG 1.5 Ton AC,35999,4,Good,Good performance
LG 1.5 Ton AC,35999,3,Fair,Installation was delayed
Samsung 1.5 Ton AC,38999,5,Excellent,Premium cooling experience
Samsung 1.5 Ton AC,38999,4,Good,Energy saving features
Samsung 1.5 Ton AC,38999,3,Fair,Price is a bit high
Whirlpool Refrigerator 265L,24999,5,Excellent,Spacious and efficient
Whirlpool Refrigerator 265L,24999,4,Good,Good cooling performance
Whirlpool Refrigerator 265L,24999,3,Fair,Average design
IFB Washing Machine 7kg,21999,5,Awesome,Excellent wash quality
IFB Washing Machine 7kg,21999,4,Good,Easy to use
IFB Washing Machine 7kg,21999,3,Fair,Takes more time for washing
Bosch Washing Machine 8kg,28999,5,Excellent,Premium quality machine
Bosch Washing Machine 8kg,28999,4,Good,Low noise and effective
Bosch Washing Machine 8kg,28999,3,Fair,Expensive but good
